Title,Description,Location,ID,Price,Bed,Date
3Bhk Furnished Flat For Rent at Butroad Calicut (SR),"Are you looking for a Branded Flat ?Here it is !3Bhk Furnished Branded Flat Available For Rent ,1800 sq.ft Furnished Branded Flat for Rent at Butroad  ,CalicutTotal Rent :45,000/- It hosts all the amenities and all the facilities are nearby the city.*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-* kottuli ,2bhk , 1000sq.ft,semi , 23000/-*calicut Beach , 3bhk, 1600sq.ft,26000/-* YMC , 1bhk, 700sq.ft semi,25000/-* methoott Thazham 2bhk 800sq.ft semi , 16500/-*pottammal, 3bhk , furnshed,25000/-* East Hill, 3Bhk, Semi Furbished,23000/-""Note : Image shown are only for business purpose , actual building / Land may differ.""For More details, Contact:Big Deals Realtors4th Floor , Hilite Business Park , Palazhy - Calicut -About Us :Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.We Provide the following Specialised Features :* Hassle free Documentation* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc","India,Kerala,Kozhikode,Calicut Beach",1765316607,"₹ 45,000",3 Bds - 3 Ba - 1800 ft2,2024-03-22T07:56:41+0000
"SEVEN BED HOUSE RENT 45,000/VATTAKINAR CALICUT","SEVEN BED HOUSE FOR RENT , VATTAKINAR,  CALUCUT CITY, RS.FOURTY FIVE  THOUSAND ONLY. READY TO MOVE  FOR OFFICES, CLINICS,  KINDERGARDEN, ETC.., 7 BHK IN 11 CENTS   AVAILABLE WITH ALL AMENETIES, 4 ROOMS  IN GROUND AND 3 ROOMS IN FIRST FLOOR,  3 HALLS , KITCHEN , PURE WELL WATER , 3 PHASE ELECTRIC , ALL READY TO MOVE IN CALICUT VATTAKINAR JUNCTION AREA ,  100 METER FROM MAIN ROAD, 1 KM TO MINI BY PASS , 4 KM TO RAILWAY STATION ,  20 KM TO AIRPORT, EASY ACCESS TO ALL BYPASS ROAD, ETC.  CAN  PARK FIVE CARS INSIDE VILLA,..  Rental ONLY  45,000/ WHATSAPP ONLY CONTACT 9-5_3_9-_6-_7-_4_0_-7_3  , DEAL  DIRECTLY WITH  OWNER.  SELLING PRICE 1.95 CR","India,Kerala,Kozhikode,Vattakkinar",1762770365,"₹ 45,000",4+ Bds - 4+ Ba - 4000 ft2,2024-03-19T16:46:09+0000
"Monthly Rent Rs 12500, Advance Rs 40,000","Chevarambalam to Kozhikode 5 kilometre,Chevarambalam to medical College 2 kmChevarambalam to Civil station - 2km","India,Kerala,Kozhikode,Chevarambalam",1764548519,"₹ 12,500",2 Bds - 2 Ba - 1700 ft2,2024-03-15T07:30:29+0000
House for rent,"Two bedroom, kitchen, hall @govidapuram near mims. working Bachelor's allowed","India,Kerala,Kozhikode,Govindapuram",1767109678,"₹ 13,000",2 Bds - 2 Ba - 1000 ft2,2024-04-09T05:32:46+0000
2bhk for rent,2bhk for rent,"India,Kerala,Kozhikode,Kamburam Beach",1767109500,"₹ 12,000",2 Bds - 2 Ba - 500 ft2,2024-04-09T05:31:16+0000
"INDEPENDENCE HOUSE FOR RENT,KUTHIRAVATTOM,CALICUT","TWO BEDROOM,ONE COMMON BATHROOM,HALL,KITCHEN,,K,W,A WATER ,TWO WHEELER SITE RENT:10000ADVANCE:40000","India,Kerala,Kozhikode,Kuthiravattom",1658257575,"₹ 10,000",2 Bds - 2 Ba - 1000 ft2,2024-04-09T02:53:28+0000
ഇരിങ്ങാടൻ പള്ളിയിൽ 4ബെഡ്‌റൂം വീട് വാടകക്ക്,ഇരിങ്ങാടൻ പള്ളി ഭാഗത്തു 3വർഷം പഴക്കമുള്ള 4ബെഡ്‌റൂം വീട് വാടകക്ക്Rent 21000Adwance 1lakh,"India,Kerala,Kozhikode,Kovoor",1760858458,"₹ 25,000",4 Bds - 4 Ba - 2200 ft2,2024-04-09T01:31:05+0000
Chevayur 4bhk house for rent,ചേവായൂർ ചേവരമ്പലം റോഡിൽ 4ബെഡ്‌റൂം ഫുൾ ഫുർണിഷ്ഡ് വീട് വാടകക്ക്Rent 35000Adwnce 1.5lakh,"India,Kerala,Kozhikode,Thondayad",1760969194,"₹ 35,000",4 Bds - 4 Ba - 2200 ft2,2024-04-09T01:31:04+0000
3 bhk Independent House for RENT in near Mankkavu Town I,"3 bedroom Independent House for RENT in near Mankkavu Town.Prime location. Wide tar road access. PARKING SPACE FOR 2-3 CARSAvailable only to decently employed families.Rent Rs 30000 per month & deposit 4 months rent.Genuine clients can contact 9,4,4,7,DOUBLE1,4,4,7,1 for details and site visit.SERVICE CHARGES AS APPLICABLE i","India,Kerala,Kozhikode,Mankavu",1765063664,"₹ 30,000",3 Bds - 3 Ba - 2400 ft2,2024-04-09T01:31:03+0000
'2 bhk semi furnished flat near chevayur,2 bhk semi furnished flat near chevayur,"India,Kerala,Kozhikode,Chevayoor",1754036688,"₹ 18,000",2 Bds - 2 Ba - 1250 ft2,2024-04-09T00:12:15+0000
